,precision,recall,f1-score,support
actinolite,0.0,0.0,0.0,12.0
albite,0.967741935483871,0.8307692307692308,0.8940397350993378,325.0
andalusite,0.9375,1.0,0.967741935483871,15.0
chloroapatite,0.9545454545454546,1.0,0.9767441860465116,63.0
chromite,0.9614147909967846,0.8952095808383234,0.9271317829457364,334.0
diopside,0.3755893137768465,0.9903314917127072,0.544625902012913,1448.0
dolomite,1.0,1.0,1.0,32.0
enstatite,0.9577464788732394,0.05143721633888049,0.09763101220387653,1322.0
fayalite,0.29523809523809524,0.2818181818181818,0.28837209302325584,110.0
forsterite,1.0,0.2626728110599078,0.41605839416058393,1302.0
grossular,0.8,0.3333333333333333,0.47058823529411764,12.0
kaersutite,0.0,0.0,0.0,29.0
leucite,0.6851851851851852,0.7928571428571428,0.7350993377483444,140.0
muscovite,0.84,0.09012875536480687,0.16279069767441862,233.0
orthoclase,0.8830409356725146,0.949685534591195,0.9151515151515152,159.0
pargasite,0.0,0.0,0.0,15.0
perovskite,0.9797979797979798,1.0,0.9897959183673469,97.0
quartz,0.9821428571428571,0.9322033898305084,0.9565217391304348,59.0
richterite,0.0,0.0,0.0,43.0
rutile,1.0,1.0,1.0,83.0
sodalite,0.0915032679738562,0.875,0.16568047337278108,32.0
titanite,0.9652777777777778,0.7743732590529248,0.8593508500772797,359.0
tschermakite,0.0,0.0,0.0,11.0
zircon,1.0,0.9878048780487805,0.9938650306748467,246.0
accuracy,0.559327264311063,0.559327264311063,0.559327264311063,0.559327264311063
macro avg,0.653196836352686,0.5853177002339968,0.5567162016027988,6481.0
weighted avg,0.7960803871106479,0.559327264311063,0.5068872411633623,6481.0
