,precision,recall,f1-score,support
actinolite,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
aegirine,0.625,0.8333333333333334,0.7142857142857143,6.0
albite,0.9876543209876543,0.9846153846153847,0.9861325115562404,325.0
almandine,0.984375,0.9692307692307692,0.9767441860465116,65.0
analcime,0.875,1.0,0.9333333333333333,7.0
andalusite,1.0,1.0,1.0,15.0
andradite,1.0,1.0,1.0,3.0
anhydrite,1.0,1.0,1.0,4.0
anorthite,0.625,0.625,0.625,8.0
azurite,1.0,1.0,1.0,8.0
barite,1.0,1.0,1.0,7.0
barylite,1.0,1.0,1.0,2.0
beryl,1.0,1.0,1.0,9.0
boracite,1.0,1.0,1.0,3.0
calcite,1.0,1.0,1.0,27.0
celadonite,1.0,0.6666666666666666,0.8,3.0
chabazite-ca,1.0,1.0,1.0,2.0
chabazite-na,1.0,1.0,1.0,2.0
chambersite,1.0,1.0,1.0,4.0
chloroapatite,1.0,1.0,1.0,63.0
chromite,0.9850299401197605,0.9850299401197605,0.9850299401197605,334.0
clinozoisite,0.7142857142857143,1.0,0.8333333333333334,5.0
cordierite,1.0,1.0,1.0,3.0
cummingtonite,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
cuprite,1.0,1.0,1.0,6.0
diopside,0.9849004804392587,0.9910220994475138,0.9879518072289156,1448.0
dolomite,1.0,1.0,1.0,32.0
edenite,0.6666666666666666,0.8571428571428571,0.75,7.0
enstatite,0.991672975018925,0.9909228441754917,0.9912977676882331,1322.0
epidote,1.0,0.75,0.8571428571428571,4.0
fayalite,0.9732142857142857,0.990909090909091,0.9819819819819819,110.0
ferroedenite,0.0,0.0,0.0,3.0
ferrosilite,0.9820717131474104,0.9781746031746031,0.9801192842942346,504.0
fluorapatite,1.0,1.0,1.0,1001.0
fluorbuergerite,1.0,1.0,1.0,2.0
fluorite,1.0,1.0,1.0,3.0
forsterite,0.9976958525345622,0.9976958525345622,0.9976958525345622,1302.0
goethite,1.0,1.0,1.0,2.0
grossular,1.0,0.9166666666666666,0.9565217391304348,12.0
halite,1.0,1.0,1.0,2.0
harmotome,0.6666666666666666,1.0,0.8,2.0
hauynite,1.0,1.0,1.0,2.0
hedenbergite,0.9732313575525813,0.9658444022770398,0.9695238095238096,527.0
hematite,1.0,1.0,1.0,5.0
heulandite ca,1.0,1.0,1.0,3.0
hydroxylapatite,1.0,1.0,1.0,4.0
ilmenite,0.9859649122807017,0.9982238010657194,0.9920564872021183,563.0
johannsenite,1.0,1.0,1.0,3.0
kaersutite,0.8064516129032258,0.8620689655172413,0.8333333333333334,29.0
kalsilite,1.0,1.0,1.0,6.0
katophorite,1.0,0.3333333333333333,0.5,3.0
laumontite,1.0,1.0,1.0,5.0
leucite,0.9929078014184397,1.0,0.99644128113879,140.0
liebenbergite,1.0,1.0,1.0,3.0
magnesiohastingsite,0.3333333333333333,0.25,0.2857142857142857,4.0
magnesiohornblende,0.9565217391304348,0.8148148148148148,0.88,27.0
magnesite,1.0,1.0,1.0,3.0
magnetite,0.9925925925925926,0.9867452135493373,0.9896602658788775,679.0
malachite,1.0,1.0,1.0,3.0
malayaite,1.0,1.0,1.0,7.0
manganosite,1.0,1.0,1.0,2.0
marokite,1.0,1.0,1.0,3.0
monticellite,1.0,1.0,1.0,4.0
muscovite,0.9957264957264957,1.0,0.9978586723768736,233.0
orthoclase,0.9936305732484076,0.9811320754716981,0.9873417721518988,159.0
paragonite,1.0,1.0,1.0,5.0
pargasite,0.6875,0.7333333333333333,0.7096774193548387,15.0
perovskite,1.0,0.9896907216494846,0.9948186528497409,97.0
phlogopite,0.9888268156424581,0.9860724233983287,0.9874476987447699,359.0
powellite,1.0,1.0,1.0,3.0
pyrope,1.0,1.0,1.0,2.0
quartz,0.9833333333333333,1.0,0.9915966386554622,59.0
richterite,0.8913043478260869,0.9534883720930233,0.9213483146067416,43.0
rutile,0.9879518072289156,0.9879518072289156,0.9879518072289156,83.0
sapphirine,1.0,1.0,1.0,3.0
schorl,1.0,1.0,1.0,3.0
serendibite,1.0,1.0,1.0,2.0
sodalite,1.0,0.96875,0.9841269841269841,32.0
stilbite-ca,1.0,1.0,1.0,3.0
titanite,0.994413407821229,0.9916434540389972,0.99302649930265,359.0
trevorite,1.0,1.0,1.0,5.0
tschermakite,0.75,0.8181818181818182,0.782608695652174,11.0
witherite,1.0,1.0,1.0,3.0
wollastonite,1.0,1.0,1.0,3.0
zircon,1.0,1.0,1.0,246.0
accuracy,0.9870664878329182,0.9870664878329182,0.9870664878329182,0.9870664878329182
macro avg,0.9402416799204493,0.9342080546349385,0.9325398735447612,10438.0
weighted avg,0.9870899247804877,0.9870664878329182,0.9868572208648797,10438.0
