,precision,recall,f1-score,support
actinolite,0.0,0.0,0.0,12.0
aegirine,1.0,0.6666666666666666,0.8,6.0
albite,0.9844236760124611,0.9723076923076923,0.978328173374613,325.0
almandine,1.0,1.0,1.0,65.0
analcime,1.0,0.42857142857142855,0.6,7.0
andalusite,1.0,1.0,1.0,15.0
anhydrite,1.0,1.0,1.0,4.0
anorthite,1.0,0.5,0.6666666666666666,8.0
azurite,1.0,1.0,1.0,8.0
barite,1.0,1.0,1.0,7.0
beryl,1.0,1.0,1.0,9.0
calcite,1.0,1.0,1.0,27.0
chambersite,1.0,1.0,1.0,4.0
chloroapatite,1.0,0.9365079365079365,0.9672131147540983,63.0
chromite,0.9644970414201184,0.9760479041916168,0.9702380952380952,334.0
clinozoisite,0.0,0.0,0.0,5.0
cummingtonite,0.0,0.0,0.0,6.0
cuprite,1.0,1.0,1.0,6.0
diopside,0.948339483394834,0.35497237569060774,0.5165829145728643,1448.0
dolomite,1.0,1.0,1.0,32.0
edenite,0.0,0.0,0.0,7.0
enstatite,0.9901215805471124,0.9856278366111951,0.9878695981804397,1322.0
epidote,0.0,0.0,0.0,4.0
fayalite,0.8928571428571429,0.9090909090909091,0.9009009009009009,110.0
ferrosilite,0.9708171206225681,0.9900793650793651,0.9803536345776032,504.0
fluorapatite,0.9960159362549801,0.999000999000999,0.9975062344139651,1001.0
forsterite,0.9976762199845082,0.989247311827957,0.9934438873891246,1302.0
grossular,0.5294117647058824,0.75,0.6206896551724138,12.0
hedenbergite,0.3481781376518219,0.9791271347248577,0.5136884021901443,527.0
hematite,1.0,1.0,1.0,5.0
hydroxylapatite,1.0,1.0,1.0,4.0
ilmenite,0.972027972027972,0.9893238434163701,0.9805996472663139,562.0
kaersutite,0.9333333333333333,0.4827586206896552,0.6363636363636364,29.0
kalsilite,1.0,1.0,1.0,6.0
laumontite,1.0,1.0,1.0,5.0
leucite,0.9855072463768116,0.9714285714285714,0.9784172661870504,140.0
magnesiohastingsite,0.06896551724137931,0.5,0.12121212121212122,4.0
magnesiohornblende,0.2727272727272727,0.2222222222222222,0.24489795918367346,27.0
magnetite,0.9865067466266867,0.9690721649484536,0.9777117384843982,679.0
malayaite,1.0,1.0,1.0,7.0
monticellite,0.0,0.0,0.0,4.0
muscovite,0.9578059071729957,0.9742489270386266,0.9659574468085106,233.0
orthoclase,0.9685534591194969,0.9685534591194969,0.9685534591194969,159.0
paragonite,0.0,0.0,0.0,5.0
pargasite,1.0,0.13333333333333333,0.23529411764705882,15.0
perovskite,0.9893617021276596,0.9587628865979382,0.9738219895287958,97.0
phlogopite,0.9272727272727272,0.9944289693593314,0.9596774193548387,359.0
quartz,0.9827586206896551,0.9661016949152542,0.9743589743589743,59.0
richterite,1.0,0.7674418604651163,0.868421052631579,43.0
rutile,1.0,0.927710843373494,0.9625,83.0
sodalite,0.9696969696969697,1.0,0.9846153846153847,32.0
titanite,0.944,0.9860724233983287,0.9645776566757494,359.0
trevorite,1.0,1.0,1.0,5.0
tschermakite,0.0,0.0,0.0,11.0
zircon,1.0,1.0,1.0,246.0
accuracy,0.8837613438887816,0.8837613438887816,0.8837613438887816,0.8837613438887816
macro avg,0.7923791923248071,0.7499764978286805,0.7507356572157912,10358.0
weighted avg,0.9365015587822296,0.8837613438887816,0.882522716073873,10358.0
