,precision,recall,f1-score,support
actinolite,0.8,0.6666666666666666,0.7272727272727273,12.0
aegirine,1.0,1.0,1.0,6.0
albite,0.9876923076923076,0.9876923076923076,0.9876923076923076,325.0
almandine,1.0,0.9692307692307692,0.984375,65.0
analcime,1.0,0.8571428571428571,0.9230769230769231,7.0
andalusite,1.0,1.0,1.0,15.0
anhydrite,1.0,1.0,1.0,4.0
anorthite,0.8571428571428571,0.75,0.8,8.0
azurite,1.0,1.0,1.0,8.0
barite,1.0,1.0,1.0,7.0
beryl,1.0,1.0,1.0,9.0
calcite,1.0,1.0,1.0,27.0
chambersite,1.0,1.0,1.0,4.0
chloroapatite,1.0,1.0,1.0,63.0
chromite,0.984984984984985,0.9820359281437125,0.9835082458770614,334.0
clinozoisite,0.7142857142857143,1.0,0.8333333333333334,5.0
cummingtonite,0.5,0.6666666666666666,0.5714285714285714,6.0
cuprite,1.0,1.0,1.0,6.0
diopside,0.9861973775017253,0.986878453038674,0.9865377977217812,1448.0
dolomite,1.0,0.96875,0.9841269841269841,32.0
edenite,1.0,1.0,1.0,7.0
enstatite,0.9939439818319455,0.9931921331316188,0.9935679152478244,1322.0
epidote,1.0,1.0,1.0,4.0
fayalite,0.981651376146789,0.9727272727272728,0.9771689497716894,110.0
ferrosilite,0.9803149606299213,0.9880952380952381,0.9841897233201581,504.0
fluorapatite,1.0,1.0,1.0,1001.0
forsterite,0.9984639016897081,0.9984639016897081,0.9984639016897081,1302.0
grossular,1.0,1.0,1.0,12.0
hedenbergite,0.975095785440613,0.9658444022770398,0.9704480457578646,527.0
hematite,1.0,1.0,1.0,5.0
hydroxylapatite,1.0,1.0,1.0,4.0
ilmenite,0.9946808510638298,0.998220640569395,0.9964476021314387,562.0
kaersutite,0.8055555555555556,1.0,0.8923076923076924,29.0
kalsilite,1.0,1.0,1.0,6.0
laumontite,1.0,1.0,1.0,5.0
leucite,1.0,0.9857142857142858,0.9928057553956835,140.0
magnesiohastingsite,0.6666666666666666,0.5,0.5714285714285714,4.0
magnesiohornblende,0.8333333333333334,0.7407407407407407,0.7843137254901961,27.0
magnetite,0.9897058823529412,0.9911634756995582,0.9904341427520236,679.0
malayaite,1.0,1.0,1.0,7.0
monticellite,0.8,1.0,0.8888888888888888,4.0
muscovite,1.0,0.9914163090128756,0.9956896551724138,233.0
orthoclase,0.9634146341463414,0.9937106918238994,0.978328173374613,159.0
paragonite,1.0,1.0,1.0,5.0
pargasite,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
perovskite,1.0,1.0,1.0,97.0
phlogopite,0.9888888888888889,0.9916434540389972,0.9902642559109874,359.0
quartz,0.9833333333333333,1.0,0.9915966386554622,59.0
richterite,1.0,0.9302325581395349,0.963855421686747,43.0
rutile,1.0,1.0,1.0,83.0
sodalite,1.0,1.0,1.0,32.0
titanite,1.0,0.9916434540389972,0.9958041958041958,359.0
trevorite,1.0,1.0,1.0,5.0
tschermakite,0.5714285714285714,0.7272727272727273,0.64,11.0
zircon,0.9959349593495935,0.9959349593495935,0.9959349593495935,246.0
accuracy,0.9887043830855378,0.9887043830855378,0.9887043830855378,0.9887043830855378
macro avg,0.9479714583487254,0.951352967749754,0.947852923533102,10358.0
weighted avg,0.9889928573904699,0.9887043830855378,0.9887445090977302,10358.0
