,precision,recall,f1-score,support
actinolite,1.0,0.16666666666666666,0.2857142857142857,12.0
aegirine,1.0,0.8333333333333334,0.9090909090909091,6.0
albite,0.9787878787878788,0.9938461538461538,0.9862595419847329,325.0
almandine,0.9558823529411765,1.0,0.9774436090225563,65.0
analcime,1.0,1.0,1.0,7.0
andalusite,1.0,1.0,1.0,15.0
andradite,1.0,1.0,1.0,3.0
anhydrite,1.0,1.0,1.0,4.0
anorthite,1.0,0.625,0.7692307692307693,8.0
azurite,1.0,1.0,1.0,8.0
barite,1.0,1.0,1.0,7.0
barylite,1.0,1.0,1.0,2.0
beryl,1.0,1.0,1.0,9.0
boracite,1.0,1.0,1.0,3.0
calcite,1.0,1.0,1.0,27.0
celadonite,1.0,1.0,1.0,3.0
chabazite-ca,1.0,1.0,1.0,2.0
chabazite-na,1.0,1.0,1.0,2.0
chambersite,1.0,1.0,1.0,4.0
chloroapatite,1.0,1.0,1.0,63.0
chromite,0.9939759036144579,0.9880239520958084,0.990990990990991,334.0
clinozoisite,0.5714285714285714,0.8,0.6666666666666666,5.0
cordierite,1.0,0.6666666666666666,0.8,3.0
cummingtonite,1.0,0.3333333333333333,0.5,6.0
cuprite,1.0,1.0,1.0,6.0
diopside,0.9775051124744376,0.9903314917127072,0.9838765008576329,1448.0
dolomite,1.0,1.0,1.0,32.0
edenite,1.0,0.5714285714285714,0.7272727272727273,7.0
enstatite,0.9946848899012908,0.9909228441754917,0.9928003031451307,1322.0
epidote,0.0,0.0,0.0,4.0
fayalite,0.9629629629629629,0.9454545454545454,0.9541284403669725,110.0
ferroedenite,0.0,0.0,0.0,3.0
ferrosilite,0.9823529411764705,0.9940476190476191,0.9881656804733728,504.0
fluorapatite,0.999001996007984,1.0,0.9995007488766849,1001.0
fluorbuergerite,1.0,1.0,1.0,2.0
fluorite,1.0,1.0,1.0,3.0
forsterite,0.992372234935164,0.999231950844854,0.995790279372369,1302.0
goethite,1.0,1.0,1.0,2.0
grossular,0.9,0.75,0.8181818181818182,12.0
halite,1.0,1.0,1.0,2.0
harmotome,1.0,1.0,1.0,2.0
hauynite,1.0,1.0,1.0,2.0
hedenbergite,0.9617590822179732,0.9544592030360531,0.9580952380952381,527.0
hematite,1.0,1.0,1.0,5.0
heulandite ca,1.0,1.0,1.0,3.0
hydroxylapatite,1.0,1.0,1.0,4.0
ilmenite,0.9911816578483245,0.9982238010657194,0.9946902654867257,563.0
johannsenite,1.0,1.0,1.0,3.0
kaersutite,0.7368421052631579,0.9655172413793104,0.835820895522388,29.0
kalsilite,1.0,0.8333333333333334,0.9090909090909091,6.0
katophorite,0.0,0.0,0.0,3.0
laumontite,1.0,1.0,1.0,5.0
leucite,0.9929078014184397,1.0,0.99644128113879,140.0
liebenbergite,1.0,1.0,1.0,3.0
magnesiohastingsite,0.0,0.0,0.0,4.0
magnesiohornblende,0.7,0.7777777777777778,0.7368421052631579,27.0
magnesite,1.0,1.0,1.0,3.0
magnetite,0.9941176470588236,0.9955817378497791,0.9948491537895512,679.0
malachite,1.0,1.0,1.0,3.0
malayaite,1.0,1.0,1.0,7.0
manganosite,1.0,1.0,1.0,2.0
marokite,1.0,1.0,1.0,3.0
monticellite,1.0,1.0,1.0,4.0
muscovite,0.9872340425531915,0.9957081545064378,0.9914529914529915,233.0
orthoclase,0.9936708860759493,0.9874213836477987,0.9905362776025236,159.0
paragonite,1.0,1.0,1.0,5.0
pargasite,0.6666666666666666,0.26666666666666666,0.38095238095238093,15.0
perovskite,1.0,1.0,1.0,97.0
phlogopite,1.0,0.9972144846796658,0.99860529986053,359.0
powellite,1.0,1.0,1.0,3.0
pyrope,1.0,1.0,1.0,2.0
quartz,0.9827586206896551,0.9661016949152542,0.9743589743589743,59.0
richterite,0.9347826086956522,1.0,0.9662921348314607,43.0
rutile,0.9879518072289156,0.9879518072289156,0.9879518072289156,83.0
sapphirine,1.0,1.0,1.0,3.0
schorl,1.0,1.0,1.0,3.0
serendibite,1.0,1.0,1.0,2.0
sodalite,1.0,1.0,1.0,32.0
stilbite-ca,1.0,1.0,1.0,3.0
titanite,0.9971910112359551,0.9888579387186629,0.993006993006993,359.0
trevorite,1.0,1.0,1.0,5.0
tschermakite,0.6,0.5454545454545454,0.5714285714285714,11.0
witherite,1.0,1.0,1.0,3.0
wollastonite,1.0,1.0,1.0,3.0
zircon,1.0,1.0,1.0,246.0
accuracy,0.9861084498946159,0.9861084498946159,0.9861084498946159,0.9861084498946159
macro avg,0.9274825738962718,0.893041845869008,0.9014768064747967,10438.0
weighted avg,0.9848954477508581,0.9861084498946159,0.9847606998788279,10438.0
